Cid	Smiles	Name	Formula	Term_List	TreeId
string	string	string	string	string	string
					meta
34001	C1CC(CCC1CN)C(=O)OC2=CC=C(C=C2)CCC(=O)O.Cl	cetraxate	C17H24ClNO4	['Anti-Ulcer Agents']	[' ']
198375	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.CS(=O)(=O)O	Maprotiline	C21H27NO3S	['Adrenergic Uptake Inhibitors', 'Antidepressive Agents, Second-Generation']	[' ']
159600	CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	Innovar	C50H58FN5O10	['Analgesics']	[' ']
11103	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C(C)O)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C(C)O	Hematoporphyrins	C34H38N4O6	['Photosensitizing Agents']	[' ']
2133	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6	amcinonide	C28H35FO7	['Glucocorticoids']	[' ']
4947	CCCOC(=O)C1=CC(=C(C(=C1)O)O)O	Propyl Gallate	C10H12O5	['Antioxidants']	[' ']
43805	C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)[O-])[O-].[Pt+4]	oxaliplatin	C8H12N2O4Pt	['Antineoplastic Agents']	[' ']
14796	O=[Ge]=O	germanium oxide	GeO2	['Antimutagenic Agents']	[' ']
23702960	C1CC2=CC=CC=C2C(C(=CC(=O)[O-])C1)O.O.[Na+]	NCS 382	C13H15NaO4	['Anticonvulsants']	[' ']
6473882	CCN(CC)C1=NC2=C(S1)C3=C(C4=C2C5=C(C(=C4O)C)OC(C5=O)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)N3)C)C)O)C)O)C)OC(=O)C)C)OC)C)O	rifamexil	C42H55N3O11S	['Anti-Bacterial Agents']	[' ']
5496540	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCCN=C(N)N)O	Bleomycin	C55H84N20O21S2	['Antibiotics, Antineoplastic']	[' ']
355450	C1CC(OC1CO)N2C=C(C(=NC2=O)N)F	digoxin-like factors	C9H12FN3O3	['Enzyme Inhibitors']	[' ']
3080	C(C(CS)S)O	Dimercaprol	C3H8OS2	['Chelating Agents']	[' ']
65485	CC(C)NCC(COC1=CC=CC=C1C2CCCCC2)O	exaprolol	C18H29NO2	['Adrenergic beta-Antagonists']	[' ']
5488036	CCC1=C2C=C3C(=C(C(=N3)C(=C4C(C(C(=N4)C=C5C(=C(C(=CC(=C1C)N2)N5)C=C)C)C)CCC(=O)[O-])CC(=O)NC(CC(=O)[O-])C(=O)[O-])C(=O)[O-])C.[Na+].[Na+].[Na+].[Na+]	Talaporfin	C38H37N5Na4O9	['Photosensitizing Agents', 'Antineoplastic Agents']	[' ']
