Term	AUCmean	AUCstd
5-alpha Reductase Inhibitors	0.963	0.054
Adjuvants, Anesthesia	0.986	0.037
Adjuvants, Immunologic	0.916	0.059
Adrenergic Agents	0.991	0.012
Adrenergic Uptake Inhibitors	0.995	0.007
Adrenergic alpha-1 Receptor Antagonists	0.994	0.011
Adrenergic alpha-2 Receptor Agonists	0.936	0.073
Adrenergic alpha-Agonists	0.974	0.035
Adrenergic alpha-Antagonists	0.975	0.020
Adrenergic beta-1 Receptor Agonists	1.000	0.001
Adrenergic beta-1 Receptor Antagonists	1.000	0.000
Adrenergic beta-2 Receptor Agonists	0.999	0.002
Adrenergic beta-Agonists	0.966	0.040
Adrenergic beta-Antagonists	0.994	0.010
Affinity Labels	0.955	0.051
Alkylating Agents	0.923	0.096
Amebicides	0.960	0.050
Anabolic Agents	0.994	0.010
Analgesics	0.940	0.038
Analgesics, Non-Narcotic	0.959	0.048
Analgesics, Opioid	0.971	0.035
Androgen Antagonists	0.938	0.081
Anesthetics	0.898	0.082
Anesthetics, Intravenous	0.981	0.035
Anesthetics, Local	0.978	0.036
Angiogenesis Inhibitors	0.936	0.092
Angiotensin II Type 1 Receptor Blockers	0.994	0.015
Angiotensin-Converting Enzyme Inhibitors	0.987	0.029
Antacids	0.977	0.040
Anthelmintics	0.958	0.044
Anti-Allergic Agents	0.951	0.029
Anti-Anxiety Agents	0.954	0.035
Anti-Arrhythmia Agents	0.962	0.024
Anti-Asthmatic Agents	0.982	0.020
Anti-Bacterial Agents	0.975	0.015
Anti-HIV Agents	0.913	0.078
Anti-Infective Agents	0.932	0.033
Anti-Infective Agents, Local	0.966	0.028
Anti-Infective Agents, Urinary	0.990	0.011
Anti-Inflammatory Agents	0.988	0.016
Anti-Inflammatory Agents, Non-Steroidal	0.947	0.023
Anti-Ulcer Agents	0.957	0.029
Antibiotics, Antineoplastic	0.976	0.036
Anticarcinogenic Agents	0.964	0.045
Anticholesteremic Agents	0.945	0.061
Anticoagulants	0.953	0.043
Anticonvulsants	0.960	0.024
Antidepressive Agents	0.931	0.043
Antidepressive Agents, Second-Generation	0.991	0.012
Antidepressive Agents, Tricyclic	0.989	0.025
Antidotes	0.943	0.056
Antiemetics	0.952	0.059
Antifungal Agents	0.910	0.044
Antihypertensive Agents	0.955	0.019
Antimalarials	0.960	0.034
Antimetabolites	0.960	0.035
Antimetabolites, Antineoplastic	0.967	0.032
Antimutagenic Agents	0.949	0.071
Antinematodal Agents	0.965	0.039
Antineoplastic Agents	0.935	0.020
Antineoplastic Agents, Alkylating	0.967	0.028
Antineoplastic Agents, Hormonal	0.983	0.023
Antineoplastic Agents, Phytogenic	0.952	0.048
Antioxidants	0.960	0.020
Antiparkinson Agents	0.980	0.036
Antiprotozoal Agents	0.892	0.068
Antipruritics	0.986	0.018
Antipsychotic Agents	0.956	0.039
Antirheumatic Agents	0.930	0.073
Antitubercular Agents	0.770	0.163
Antitussive Agents	0.965	0.056
Antiviral Agents	0.949	0.029
Appetite Depressants	0.998	0.004
Bone Density Conservation Agents	0.997	0.006
Bronchodilator Agents	0.958	0.026
Calcium Channel Blockers	0.959	0.018
Calcium Chelating Agents	0.941	0.131
Carcinogens	0.962	0.032
Cardiotonic Agents	0.965	0.031
Cardiovascular Agents	0.927	0.103
Cariostatic Agents	0.924	0.112
Cathartics	0.976	0.028
Central Nervous System Stimulants	0.918	0.105
Chelating Agents	0.966	0.021
Cholagogues and Choleretics	0.952	0.101
Cholinergic Antagonists	0.978	0.058
Cholinesterase Inhibitors	0.946	0.026
Cholinesterase Reactivators	0.949	0.102
Chromogenic Compounds	0.948	0.052
Coccidiostats	0.940	0.073
Coloring Agents	0.983	0.021
Contraceptives, Oral, Synthetic	0.994	0.008
Contrast Media	0.975	0.025
Convulsants	0.913	0.089
Cross-Linking Reagents	0.971	0.016
Cyclooxygenase Inhibitors	0.969	0.029
Cysteine Proteinase Inhibitors	0.905	0.111
Cytochrome P-450 CYP1A2 Inhibitors	0.989	0.028
Dermatologic Agents	0.900	0.087
Detergents	0.982	0.022
Disinfectants	0.962	0.039
Diuretics	0.964	0.036
Dopamine Agents	0.974	0.058
Dopamine Agonists	0.953	0.039
Dopamine Antagonists	0.982	0.014
Dopamine Uptake Inhibitors	0.958	0.045
Endothelin Receptor Antagonists	0.943	0.071
Enzyme Inhibitors	0.952	0.016
Estrogen Antagonists	0.950	0.068
