Term;auc
Uricosuric Agents;0.971402550091
Anticonvulsants;0.991493542953
Fibrinolytic Agents;0.712163656469
Calcium Chelating Agents;0.9859437751
Psychotropic Drugs;0.994083272462
Calcium Channel Blockers;0.946121431029
Antirheumatic Agents;0.817946226109
Enzyme Inhibitors;0.894112110437
Vitamins;0.798888481739
Histamine H1 Antagonists;0.900910746812
Radiopharmaceuticals;0.915118397086
Antifungal Agents;0.931898333941
Adrenergic alpha-Antagonists;0.938667154888
Topoisomerase I Inhibitors;0.981335278469
Tocolytic Agents;0.684107468124
Anabolic Agents;0.677276867031
Anticoagulants;0.960320349472
Muscarinic Agonists;0.725664241189
Narcotics;0.781541646759
Amebicides;0.941256946207
Antinematodal Agents;0.99963583394
Adrenergic alpha-1 Receptor Antagonists;0.876835335518
Histamine H1 Antagonists, Non-Sedating;0.952762459682
Cholinesterase Inhibitors;0.919491266642
Coccidiostats;0.676556243174
Estrogen Antagonists;0.968569723493
Trace Elements;0.924216345903
Protease Inhibitors;0.936143505021
Antineoplastic Agents, Alkylating;0.77806278246
Monoamine Oxidase Inhibitors;0.88550163843
Antimetabolites, Antineoplastic;0.927082111437
Antineoplastic Agents;0.864323839581
Radiation-Protective Agents;0.959046232253
Proton Pump Inhibitors;0.94780722194
Adjuvants, Anesthesia;0.824470416362
Vasodilator Agents;0.809904808797
Serine Proteinase Inhibitors;0.832053306795
Anesthetics;0.847504261018
Appetite Depressants;0.902342989421
Adrenergic beta-2 Receptor Agonists;0.867921712434
Histamine Agonists;0.86854674999
Factor Xa Inhibitors;0.885244596585
Analgesics;0.843412240568
Bronchodilator Agents;0.777697947214
Antitubercular Agents;0.784705111402
Alkylating Agents;0.878568822116
Adrenergic alpha-2 Receptor Agonists;0.87093452935
Anesthetics, Intravenous;0.971090047393
Photosensitizing Agents;0.981115004043
Hormone Antagonists;0.891905283472
GABA Antagonists;0.889171603626
Anti-Inflammatory Agents;0.831872640735
Hormones;0.823705071435
Endothelin Receptor Antagonists;0.799883687118
Antacids;0.965766751794
Dermatologic Agents;0.937125931355
Tubulin Modulators;0.696995464853
Antibiotics, Antineoplastic;0.845351906158
Adrenergic beta-Antagonists;0.771477871284
Excitatory Amino Acid Antagonists;0.91897217144
Neurotransmitter Agents;0.888541177698
Analgesics, Opioid;0.824077947431
Hypoglycemic Agents;0.833005322441
Anti-Anxiety Agents;0.897380505965
Parasympatholytics;0.780009739469
Anti-Asthmatic Agents;0.975947521866
Antiprotozoal Agents;0.873347260597
Antipruritics;0.929096900902
Antineoplastic Agents, Hormonal;0.881877729258
Purinergic P1 Receptor Antagonists;0.948078026391
Anticarcinogenic Agents;0.820555136044
Plant Growth Regulators;0.79729510852
Hydroxymethylglutaryl-CoA Reductase Inhibitors;0.913643650988
Adrenergic beta-1 Receptor Agonists;0.841655113986
Sympatholytics;0.858786203201
Histone Deacetylase Inhibitors;0.907717849044
Angiotensin-Converting Enzyme Inhibitors;0.822834500553
Cardiovascular Agents;0.644950600093
Dopamine Uptake Inhibitors;0.896917849776
Cysteine Proteinase Inhibitors;0.688890915724
Adrenergic beta-Agonists;0.863223644119
Antihypertensive Agents;0.806255355613
Adjuvants, Immunologic;0.998665210533
Androgen Antagonists;0.837277029487
Protein Kinase Inhibitors;0.940457398067
Adrenergic alpha-Agonists;0.9028717095
Antioxidants;0.74857420216
Matrix Metalloproteinase Inhibitors;0.96
Gastrointestinal Agents;0.970475974529
Antidotes;0.70218579235
Anti-Bacterial Agents;0.927478960849
Dopamine Agonists;0.967144088588
Cholinergic Antagonists;0.985519125683
Cathartics;0.846212952799
Phosphodiesterase Inhibitors;0.773816029144
Cyclooxygenase Inhibitors;0.839609601986
Voltage-Gated Sodium Channel Blockers;0.946584699454
Cardiotonic Agents;0.966585415397
Muscarinic Antagonists;0.959769762401
Urological Agents;0.982912212504
Cholinesterase Reactivators;0.703870673953
Adrenergic beta-1 Receptor Antagonists;0.829985652798
Contraceptives, Oral, Synthetic;0.971331389699
Cariostatic Agents;0.841046471336
Iron Chelating Agents;0.780303818541
Bone Density Conservation Agents;0.872358834244
Dopamine Antagonists;0.718053525758
Ornithine Decarboxylase Inhibitors;0.96644704734
beta-Lactamase Inhibitors;0.756872037915
Anesthetics, Local;0.91614026563
Serotonin Uptake Inhibitors;0.935751801637
Anticholesteremic Agents;0.824781016085
Antidepressive Agents, Tricyclic;0.985109100296
Analgesics, Non-Narcotic;0.882930937675
Serotonin Receptor Agonists;0.977823315118
Expectorants;0.998861566485
Narcotic Antagonists;0.901863271666
Histamine Antagonists;0.726895002807
Dopamine Agents;0.998041894353
Lipoxygenase Inhibitors;0.839809096013
Poly(ADP-ribose) Polymerase Inhibitors;0.946088872567
Nitric Oxide Donors;0.934643377001
Immunosuppressive Agents;0.986438206343
Hematinics;0.880710828194
