Term;auc
5-alpha Reductase Inhibitors;0.929672330097
Adjuvants, Anesthesia;0.863643711607
Adjuvants, Immunologic;0.808270140248
Adrenergic Agents;0.955014902613
Adrenergic Uptake Inhibitors;0.989692946954
Adrenergic alpha-1 Receptor Antagonists;0.914761673152
Adrenergic alpha-2 Receptor Agonists;0.786442087752
Adrenergic alpha-Agonists;0.967055393586
Adrenergic alpha-Antagonists;0.870222721318
Adrenergic beta-1 Receptor Agonists;0.992490310078
Adrenergic beta-1 Receptor Antagonists;0.999919172325
Adrenergic beta-2 Receptor Agonists;0.996611810261
Adrenergic beta-Agonists;0.918548200663
Adrenergic beta-Antagonists;0.970617625173
Affinity Labels;0.798361650485
Alkylating Agents;0.801001213592
Amebicides;0.977562550444
Anabolic Agents;0.994902912621
Analgesics;0.657470910072
Analgesics, Non-Narcotic;0.902405212449
Analgesics, Opioid;0.896419692598
Androgen Antagonists;0.93784351762
Anesthetics;0.786534109279
Anesthetics, Intravenous;0.954413191077
Anesthetics, Local;0.942282499807
Angiogenesis Inhibitors;0.886359967716
Angiotensin II Type 1 Receptor Blockers;0.956470506689
Angiotensin-Converting Enzyme Inhibitors;0.936440202134
Antacids;0.930111434109
Anthelmintics;0.895420054201
Anti-Allergic Agents;0.821946169772
Anti-Anxiety Agents;0.814638318671
Anti-Arrhythmia Agents;0.816560436405
Anti-Asthmatic Agents;0.989723703345
Anti-Bacterial Agents;0.831506673511
Anti-HIV Agents;0.730767671855
Anti-Infective Agents;0.637670166474
Anti-Infective Agents, Local;0.722827148438
Anti-Infective Agents, Urinary;0.810198643411
Anti-Inflammatory Agents;0.927797031903
Anti-Inflammatory Agents, Non-Steroidal;0.793121630628
Anti-Ulcer Agents;0.781550236118
Antibiotics, Antineoplastic;0.82229191028
Anticarcinogenic Agents;0.946653734239
Anticholesteremic Agents;0.834951456311
Anticoagulants;0.734232942324
Anticonvulsants;0.888880464041
Antidepressive Agents;0.862272408964
Antidepressive Agents, Second-Generation;0.963654033042
Antidepressive Agents, Tricyclic;0.932719340766
Antidotes;0.845330338761
Antiemetics;0.809679351081
Antifungal Agents;0.640343172055
Antihypertensive Agents;0.826538155825
Antimalarials;0.839005602241
Antimetabolites;0.886787280702
Antimetabolites, Antineoplastic;0.856859879851
Antimutagenic Agents;0.855399288716
Antinematodal Agents;0.882113821138
Antineoplastic Agents;0.71395832211
Antineoplastic Agents, Alkylating;0.889137847053
Antineoplastic Agents, Hormonal;0.873422330097
Antineoplastic Agents, Phytogenic;0.779489497844
Antioxidants;0.869722165401
Antiparkinson Agents;0.909417641326
Antiprotozoal Agents;0.739392089844
Antipruritics;0.994174757282
Antipsychotic Agents;0.870502515311
Antirheumatic Agents;0.752741905297
Antitubercular Agents;0.664736818845
Antitussive Agents;0.861281123939
Antiviral Agents;0.830618654105
Appetite Depressants;1.0
Bone Density Conservation Agents;0.875921546808
Bronchodilator Agents;0.83675865668
Calcium Channel Blockers;0.80815988677
Calcium Chelating Agents;0.840850307145
Carcinogens;0.831605986151
Cardiotonic Agents;0.889252684171
Cardiovascular Agents;0.624780086094
Cariostatic Agents;0.830456782422
Cathartics;0.944409787205
Central Nervous System Stimulants;0.739503166098
Chelating Agents;0.908016747579
Cholagogues and Choleretics;0.9592628516
Cholinergic Antagonists;1.0
Cholinesterase Inhibitors;0.850877006485
Cholinesterase Reactivators;1.0
Chromogenic Compounds;0.95788964182
Coccidiostats;0.754894594953
Coloring Agents;0.894428872314
