pIGC50	CAS	SMILES
continuous	string	string
	meta	meta
1.26	2683434	C1=C(C=C(C(=C1Cl)N)[N+](=O)[O-])Cl
1.62	827236	C1=C(C=C(C(=C1Br)N)[N+](=O)[O-])Br
1.12	3531199	C1=C(C=C(C(=C1[N+](=O)[O-])N)Cl)[N+](=O)[O-]
1.24	1817738	C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-]
1.15	5388625	[N+]([O-])(=O)c1c(N)c([N+](=O)[O-])cc(c1)Cl
1.09	3819883	C1=C(C=C(C=C1F)I)[N+](=O)[O-]
1.13	618622	C1=C(C=C(C=C1Cl)Cl)[N+](=O)[O-]
1.66	6641641	C1=C(C(=CC(=C1Cl)Cl)[N+](=O)[O-])N
0.75	78056390	C1=C(C(=CC(=C1F)F)[N+](=O)[O-])N
1.69	367817	[N+]([O-])(=O)c1cc([N+](=O)[O-])c(N)cc1F
2.42	28689089	C1=C(C=C(C(=C1Cl)[N+](=O)[O-])[N+](=O)[O-])Cl
0.75	121879	C1=CC(=C(C=C1[N+](=O)[O-])Cl)N
1.43	18708708	C1=C(C=C(C(=C1Cl)[N+](=O)[O-])Cl)Cl
0.6	6283256	[N+](c1cc(N)c(cc1)Cl)(=O)[O-]
1.53	89690	C1=C(C(=CC(=C1Cl)Cl)Cl)[N+](=O)[O-]
1.13	89612	C1=CC(=C(C=C1Cl)[N+](=O)[O-])Cl
1.37	3460182	C1=CC(=C(C=C1Br)[N+](=O)[O-])Br
0.33	364749	C1=CC(=C(C=C1F)[N+](=O)[O-])F
0.72	97029	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N
2.72	3698837	Clc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Cl)c1
2.08	327924	C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-]
0.84	606224	C1=CC(=C(C(=C1)[N+](=O)[O-])N)[N+](=O)[O-]
0.94	618871	[N+]([O-])(=O)c1cc([N+](=O)[O-])cc(c1)N
0.99	611063	C1=CC(=C(C=C1Cl)Cl)[N+](=O)[O-]
2.19	6284839	C1=C(C(=C(C(=C1Cl)[N+](=O)[O-])Cl)[N+](=O)[O-])Cl
2.21	6306394	C1=C(C(=CC(=C1Cl)Cl)[N+](=O)[O-])[N+](=O)[O-]
0.08	88744	C1=CC=C(C(=C1)N)[N+](=O)[O-]
0.73	121733	C1=CC(=CC(=C1)Cl)[N+](=O)[O-]
0.2	402675	[N+](c1cc(F)ccc1)(=O)[O-]
1.03	585795	C1=CC(=CC(=C1)Br)[N+](=O)[O-]
1.62	320763	[N+](=O)([O-])c1c(O)c(F)cc(c1)Br
1.75	609892	C1=C(C=C(C(=C1Cl)O)[N+](=O)[O-])Cl
0.43	100005	C1=CC(=CC=C1[N+](=O)[O-])Cl
1.55	20098480	[N+](c1cc(Cl)c(c(c1)Cl)Cl)(=O)[O-]
0.1	350469	C1=CC(=CC=C1[N+](=O)[O-])F
1.82	117180	C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl
0.38	586787	[N+](c1ccc(cc1)Br)(=O)[O-]
1.87	314410	C1=C(C(=C(C(=C1F)F)F)[N+](=O)[O-])F
1.78	879390	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)[N+](=O)[O-]
1.16	99547	C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl
0.8	350301	C1=CC(=C(C=C1[N+](=O)[O-])Cl)F
0.97	74266663	O(C)c1c([N+](=O)[O-])cc(cc1F)Br
1.2	6358094	[N+](c1cc(N)c(c(c1)Cl)O)([O-])=O
1.44	697-86-9	Nc1c(Br)cc(cc1Cl)Cl
1.52	874179	Nc1c(Br)cc(cc1Br)Cl
2.6	2678219	C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-]
0.82	89598	CC1=C(C=C(C=C1)Cl)[N+](=O)[O-]
2.12	89645	[N+](=O)([O-])c1c(O)ccc(c1)Cl
2.12	709499	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])I
0.23	1493272	C1=CC=C(C(=C1)[N+](=O)[O-])F
0.68	88733	C1=CC=C(C(=C1)[N+](=O)[O-])Cl
0.03	99092	C1=CC(=CC(=C1)[N+](=O)[O-])N
1.81	305851	C1=C(C=C(C(=C1I)O)I)[N+](=O)[O-]
2.82	20098388	C1(=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl)[N+](=O)[O-]
0.37	89623	CC1=CC(=C(C=C1)N)[N+](=O)[O-]
1.36	99285	[N+](c1cc(Br)c(c(c1)Br)O)(=O)[O-]
0.75	577195	C1=CC=C(C(=C1)[N+](=O)[O-])Br
2.16	97007	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
2.31	584485	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br
1.71	70348	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F
0.61	618804	[N+]([O-])(=O)c1cc(Cl)c(O)c(c1)Cl
0.51	54321798	[N+]([O-])(=O)c1c(N)c([N+](=O)[O-])cc(c1)C(N)=O
1.12	446366	[N+](c1c(cc(cc1)F)O)(=O)[O-]
1.18	3264719	[N+](=O)([O-])C1=C(O)C(O)=C(C(=C1)[N+](=O)[O-])O
0.56	554007	C1=CC(=C(C=C1Cl)Cl)N
0.76	99650	C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]
2.43	880784	C1(=C(C(=C(C(=C1F)F)F)F)F)[N+](=O)[O-]
1.89	771697	C1=CC(=C(C(=C1[N+](=O)[O-])F)F)F
1.51	17700093	C1=CC(=C(C(=C1[N+](=O)[O-])Cl)Cl)Cl
1.07	3209221	C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-]
1.3	100254	C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-]
