CID	SMILES	Name	Formula	Terms	TreeIds
1	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	Acetylcarnitine	C9H17NO4	['Nootropic Agents', 'Vitamin B Complex']	['D27.505.954.427.637', 'D27.505.696.377.605.600.708']
6	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl	Dinitrochlorobenzene	C6H3ClN2O4	['Irritants', 'Indicators and Reagents']	['D27.720.400', 'D27.888.569.300', 'D27.720.470.410']
15	CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C	Dihydrotestosterone	C19H30O2	['Androgens']	['D27.505.696.399.472.161']
19	C1=CC(=C(C(=C1)O)O)C(=O)O	2,3-dihydroxybenzoic acid	C7H6O4	['Iron Chelating Agents']	['D27.505.519.914.500.410', 'D27.720.832.500.410']
72	C1=CC(=C(C=C1C(=O)O)O)O	protocatechuic acid	C7H6O4	['Anticarcinogenic Agents']	['D27.505.696.706.018', 'D27.505.954.248.125', 'D27.720.799.018']
86	C1=CC(=C(C(=C1)O)N)C(=O)O	3-Hydroxyanthranilic Acid	C7H7NO3	['Free Radical Scavengers']	['D27.505.519.217.500']
119	C(CC(=O)O)CN	gamma-Aminobutyric Acid	C4H9NO2	['GABA Agents']	['D27.505.519.625.240', 'D27.505.696.577.240']
127	C1=CC(=CC=C1CC(=O)O)O	4-hydroxyphenylacetic acid	C8H8O3	['Carcinogens']	['D27.888.569.100']
137	C(CC(=O)O)C(=O)CN	Aminolevulinic Acid	C5H9NO3	['Photosensitizing Agents']	['D27.505.954.444.600', 'D27.505.954.600.710']
143	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	Leucovorin	C20H23N7O7	['Vitamin B Complex', 'Antidotes']	['D27.505.696.377.605.600.708', 'D27.505.696.706.037', 'D27.720.799.037']
144	C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N	5-Hydroxytryptophan	C11H12N2O3	['Antidepressive Agents, Second-Generation']	['D27.505.954.427.700.122.050']
164	C(CC(=C[N+]#N)[O-])C(C(=O)O)N	Diazooxonorleucine	C6H9N3O3	['Antimetabolites, Antineoplastic', 'Antibiotics, Antineoplastic']	['D27.505.519.186.144', 'D27.505.954.248.144', 'D27.888.569.042.030', 'D27.505.954.248.106']
175	CC(=O)[O-]	VoSoL	C2H3O2-	['Indicators and Reagents']	['D27.720.470.410']
176	CC(=O)O	Acetic Acid	C2H4O2	['Indicators and Reagents']	['D27.720.470.410']
180	CC(=O)C	Acetone	C3H6O	['Solvents']	['D27.720.844']
187	CC(=O)OCC[N+](C)(C)C	Acetylcholine	C7H16NO2+	['Cholinergic Agonists', 'Vasodilator Agents']	['D27.505.519.625.120.140', 'D27.505.696.577.120.140', 'D27.505.954.411.918']
204	C1(C(=O)NC(=O)N1)NC(=O)N	Allantoin	C4H6N4O3	['Dermatologic Agents']	['D27.505.954.444']
227	C1=CC=C(C(=C1)C(=O)O)N	anthranilic acid	C7H7NO2	['Anticonvulsants']	['D27.505.954.427.080']
234	O[As](=O)(O)O	arsenic acid	AsH3O4	['Teratogens', 'Herbicides']	['D27.888.569.864', 'D27.720.031.700.366', 'D27.888.723.366']
