Cid	Smiles	Name	Formula	Term_List	TreeId
string	string	string	string	string	string
					meta
54758559	C1CN(CC[NH+]1CCC2=CC=C(C=C2)C(=O)[O-])CC=CC3=CC=C(C=C3)Cl	BM 15766	C22H25ClN2O2	['Enzyme Inhibitors', 'Anticholesteremic Agents']	[' ']
122307	C(C1=C(C(=C(C(=C1F)F)F)F)F)ON.Cl	Florox Reagent	C7H5ClF5NO	['Indicators and Reagents']	[' ']
382513	CCC1(CC(C2=C(C1C(=O)OC)C=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7C(=CC(=O)C(O7)C)N)O)N(C)C)O	aclacinomycins	C42H52N2O15	['Antibiotics, Antineoplastic', 'Adjuvants, Immunologic']	[' ']
146361	CC(C1CCC2C1(CCC3C2CCC4C3(CCC(=O)N4C)C)C)C(=O)O	4-methyl-4-aza-3-oxopregnane-20-carboxylate	C22H35NO3	['5-alpha Reductase Inhibitors']	[' ']
2585	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O	carvedilol	C24H26N2O4	['Adrenergic alpha-1 Receptor Antagonists', 'Vasodilator Agents', 'Antihypertensive Agents', 'Adrenergic beta-Antagonists']	[' ']
3037161	CCC(CC1=C(C=C(C(=C1)OC)C)OC)N	dimoxamine	C13H21NO2	['Hallucinogens']	[' ']
5875	CC1CC2C3CC(C4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)F	Paramethasone	C22H29FO5	['Glucocorticoids', 'Anti-Inflammatory Agents']	[' ']
23663939	CC1=C(C=CC2=C1OC(=O)C(=C2[O-])NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O.[Na+]	Novobiocin	C31H35N2NaO11	['Nucleic Acid Synthesis Inhibitors', 'Enzyme Inhibitors', 'Anti-Bacterial Agents']	[' ']
6918309	COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)OP(=O)([O-])[O-].[Na+].[Na+]	fosbretabulin	C18H19Na2O8P	['Antineoplastic Agents, Phytogenic']	[' ']
140765	C1C=COC1=O	butenolide	C4H4O2	['Immunosuppressive Agents', 'Appetite Depressants']	[' ']
4615	C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5	oxatomide	C27H30N4O	['Anti-Asthmatic Agents', 'Anti-Allergic Agents', 'Histamine H1 Antagonists']	[' ']
37720	C1C(C(C(C(O1)OC2COC(C(C2OS(=O)(=O)O)OS(=O)(=O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)O	Pentosan Sulfuric Polyester	C10H18O21S4	['Anticoagulants']	[' ']
76972523	CC1=C(C(=C2CCC(OC2=C1C)(C)C(=O)O)C)O.CC1=C(C(=C2CCC(OC2=C1C)(C)C(=O)O)C)O	6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid	C28H36O8	['Antioxidants']	[' ']
5383620	CC=C1CC2C(NC3=CC(=C(C=C3C(=O)N2C1)OC)O)OC	tomaymycin	C16H20N2O4	['Antibiotics, Antineoplastic', 'Anti-Bacterial Agents']	[' ']
