Cid	Smiles	Name	Formula	Terms	TreeIds
18499	CC[N+](C)(C)CC1=CC=CC=C1Br.[Br-]	bretylium	C11H17Br2N	['Therapeutic Uses']	['D27.505.954']
3354	CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4	Flavoxate	C24H25NO4	['Physiological Effects of Drugs', 'Therapeutic Uses']	['D27.505.696', 'D27.505.954']
10612083	CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)C=CC#N	Ro 48-1220	C10H10N2O5S	['Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.954', 'D27.505.519']
49831411	CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(C=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl	aripiprazole lauroxil	C36H51Cl2N3O4	['Physiological Effects of Drugs', 'Therapeutic Uses']	['D27.505.696', 'D27.505.954']
20848883	CN(C)CCN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O.Cl	Cefotiam	C18H24ClN9O4S3	['Therapeutic Uses']	['D27.505.954']
123720	C1=CC(=CC=C1NC2=NC(=NC(=N2)N)N)[As](SCCN)SCCN.Cl.Cl	melaminylthioarsenate	C13H23AsCl2N8S2	['Therapeutic Uses']	['D27.505.954']
130227	CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4=C3C=CC(=C4)C(=O)O	17-(N-t-butylcarboxamide)estra-1,3,5(10)-triene-3-carboxylic acid	C24H33NO3	['Physiological Effects of Drugs', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.696', 'D27.505.519']
148193	CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N	tipifarnib	C27H22Cl2N4O	['Therapeutic Uses']	['D27.505.954']
9961939	CCOC1=CC=C(C=C1)CC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Gd+3]	gadolinium ethoxybenzyl DTPA	C23H28GdN3Na2O11	['Diagnostic Uses of Chemicals']	['D27.505.259']
72145	CCOC1=C(C(=C(C2=C1C(OC2=O)C3C4=C(C5=C(C=C4CCN3C)OCO5)OC)N)OCC)OCC	tritoqualine	C26H32N2O8	['Physiological Effects of Drugs', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.696', 'D27.505.519']
65328	C1CCCN(CCC1)CCN=C(N)N.C1CCCN(CCC1)CCN=C(N)N.OS(=O)(=O)O	Guanethidine	C20H46N8O4S	['Physiological Effects of Drugs', 'Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.696', 'D27.505.954']
23663987	CC1=CC2=C(C=C1C)N(C=N2)CC=C3C4=CC=CC=C4COC5=C3C=C(C=C5)C(=O)[O-].O.[Na+]	KW 3635	C26H23N2NaO4	['Therapeutic Uses']	['D27.505.954']
76965092	CC(C)NCC(C1=CC=CC=C1Cl)O.CC(C)NCC(C1=CC=CC=C1Cl)O	clorprenaline	C22H32Cl2N2O2	['Physiological Effects of Drugs', 'Therapeutic Uses']	['D27.505.696', 'D27.505.954']
4022878	CC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)N.[Na+]	Sulfacetamide	C8H9N2NaO3S	['Therapeutic Uses']	['D27.505.954']
6918617	CC1=C(NC(=NC1=O)N(C)C)C(C)C2=C(C=CC=C2F)F	6-(1-(2,6-difluorophenyl)ethyl)-2-(dimethylamino)-5-methylpyrimidin-4(3H)-one	C15H17F2N3O	['Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.954', 'D27.505.519']
9796663	CC(C)NCC(C1=CC(=C(C=C1)O)O)O.OS(=O)(=O)O	Isoproterenol	C11H19NO7S	['Physiological Effects of Drugs', 'Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.696', 'D27.505.954']
9837243	CCCC1CC(=O)N(C1)C(CC)C(=O)N	brivaracetam	C11H20N2O2	['Therapeutic Uses']	['D27.505.954']
68909	CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2OC(F)F)C(=O)OC	ryodipine	C18H19F2NO5	['Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.954']
6438331	CC(CC1=CC=C(C=C1)C(=O)OC)NCC(C2=CC=CC=C2)O.CC(=O)C=CC(=O)O	BRL 26830A	C24H29NO6	['Physiological Effects of Drugs', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.696', 'D27.505.519']
9815266	CC(C1(C=CC(=O)C1O)O)O	pentenocin B	C7H10O4	['Molecular Mechanisms of Pharmacological Action']	['D27.505.519']
114890	CCCCCCCCCCCCCCCC(=O)O.CC1=CC2=C(C=C1)NC3(C2(CN(CC3)C)C)C	dicarbine	C31H54N2O2	['Physiological Effects of Drugs', 'Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.696', 'D27.505.954']
5311334	CC1(C2CC1C(C(C2)NC(=O)C(C3CCCC3)O)CC=CCCCC(=O)O)C	ONO 3708	C23H37NO4	['Therapeutic Uses']	['D27.505.954']
86480	CCCC(CCC)C(=O)[O-].CCCC(CCC)C(=O)[O-].[Ca+2]	Valproic Acid	C16H30CaO4	['Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.954']
162862	C1CC(C(OC1CN)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)N)N)N.[O-]S(=O)(=O)[O-]	Dibekacin	C18H37N5O12S-2	['Therapeutic Uses']	['D27.505.954']
3032325	CCC(=C(CC)C1=CC=C(C=C1)OP(=O)(O)O)C2=CC=C(C=C2)OP(=O)(O)O	fosfestrol	C18H22O8P2	['Therapeutic Uses']	['D27.505.954']
4380	CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C	Clorgyline	C13H15Cl2NO	['Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.954', 'D27.505.519']
72941962	CCCCC1=NC2(CCCCC2)C(=O)N1CC3=CC(=C(C=C3)C4=CC=CC=C4S(=O)(=O)NC5=NOC(=C5C)C)COCC	4'-((2-butyl-4-oxo-1,3-diazaspiro(4.4)non-1-en-3-yl)methyl)-N-(4,5-dimethyl-3-isoxazolyl)-2'-(ethoxymethyl)(1,1'-biphenyl)-2-sulfonamide	C33H42N4O5S	['Molecular Mechanisms of Pharmacological Action']	['D27.505.519']
9958089	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O.[Ca]	Leucovorin	C20H23CaN7O7	['Physiological Effects of Drugs']	['D27.505.696']
4108	COC1=CC=CC=C1CNCCCCCCNCCCCCCCCNCCCCCCNCC2=CC=CC=C2OC	methoctramine	C36H62N4O2	['Physiological Effects of Drugs']	['D27.505.696']
164827	[O-2].[Cu+2]	cupric oxide	CuO	['Physiological Effects of Drugs']	['D27.505.696']
5147	C1=CC=C(C(=C1)C(=O)N)O	salicylamide	C7H7NO2	['Physiological Effects of Drugs', 'Therapeutic Uses']	['D27.505.696', 'D27.505.954']
455799	CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C)CCC(=O)O)CCC(=O)O.[Zn+2]	zinc protoporphyrin	C34H32N4O4Zn	['Molecular Mechanisms of Pharmacological Action']	['D27.505.519']
115090	CC1CC2(C3=C(O1)C=CC(=C3)F)C(=O)NC(=O)N2	M 79175	C12H11FN2O3	['Molecular Mechanisms of Pharmacological Action']	['D27.505.519']
10378992	CC(C)(C)NCC(COC1=C(C=C(C=C1)C=O)OC)O	vanidilol	C15H23NO4	['Physiological Effects of Drugs', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.696', 'D27.505.519']
122324	C1C(OC(C2=C1C(=C(C=C2)O)O)CN)C3=CC=CC=C3	A 68930	C16H17NO3	['Physiological Effects of Drugs', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.696', 'D27.505.519']
124221625	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O.Cl.Cl	Quinine	C40H52Cl2N4O8S	['Physiological Effects of Drugs', 'Therapeutic Uses']	['D27.505.696', 'D27.505.954']
59772	CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C.C(CC(=O)O)C(=O)O	Sumatriptan	C18H27N3O6S	['Therapeutic Uses']	['D27.505.954']
17506	CCNCC.C1=CC(=C(C=C1O)S(=O)(=O)O)O	Ethamsylate	C10H17NO5S	['Therapeutic Uses']	['D27.505.954']
54607781	C1=CC2=C(C(=C1)O)C(=O)C3=C(C=CC4=C3C2=NN4CCNCCO)NCCNCCO.Cl	losoxantrone	C22H28ClN5O4	['Therapeutic Uses']	['D27.505.954']
195410	CC(C)N(C(C)C)C(=O)C1CCC2C1(CCC3C2CCC4=C3C=CC(=C4)C(=O)O)C	17-(N,N-diisopropylcarboxamide)estra-1,3,5(10)-triene-3-carboxylic acid	C26H37NO3	['Physiological Effects of Drugs', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.696', 'D27.505.519']
3333	CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C	Felodipine	C18H19Cl2NO4	['Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.954']
76958620	CC(CNC(=O)C1=CN=CC=C1)NC(=O)C2=CN=CC=C2.CC(CNC(=O)C1=CN=CC=C1)NC(=O)C2=CN=CC=C2	nicaraven	C30H32N8O4	['Physiological Effects of Drugs', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.696', 'D27.505.519']
114999	CCCC1=C(C=CC2=C1OC(CC2)C(=O)O)OCCCOC3=C(C(=C(C=C3)C(=O)C)OC)CCC	SC 41930	C28H36O7	['Physiological Effects of Drugs', 'Therapeutic Uses']	['D27.505.696', 'D27.505.954']
9928181	COC1=CC(=C(C=C1C(=O)NC2CN3CCC2CC3)Cl)N.Cl	zacopride	C15H21Cl2N3O2	['Physiological Effects of Drugs', 'Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.696', 'D27.505.954']
71225	CC(C)C(CCCN(C)CCC1=CC=CC=C1)(C#N)C2=CC=CC=C2	emopamil	C23H30N2	['Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.954', 'D27.505.519']
65684	CC1=CC2=C(C=C1)NC3C2CN(CC3)C	dicarbine	C13H18N2	['Physiological Effects of Drugs', 'Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.696', 'D27.505.954']
2862	CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O	convallatoxin	C29H42O10	['Therapeutic Uses']	['D27.505.954']
196841	CN1CCN(CC1)C(=O)C2=NC(=C(S2)C3=CC=C(C=C3)OC)C4=CC=C(C=C4)OC	1-((4,5-bis(4-methoxyphenyl)-2-thiazoyl)carbonyl)-4-methylpiperazine	C23H25N3O3S	['Physiological Effects of Drugs', 'Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.696', 'D27.505.954', 'D27.505.519']
9917528	CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C.OP(=O)(O)O.OP(=O)(O)O	cabergoline	C26H43N5O10P2	['Physiological Effects of Drugs', 'Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.519', 'D27.505.696', 'D27.505.954']
166583	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	Calcifediol	C27H44O2	['Physiological Effects of Drugs']	['D27.505.696']
175804	CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl	ropivacaine	C17H27ClN2O	['Physiological Effects of Drugs', 'Therapeutic Uses']	['D27.505.696', 'D27.505.954']
34007	[O-]S(=O)(=O)[O-].O=[V+2]	vanadyl sulfate	O5SV	['Physiological Effects of Drugs']	['D27.505.696']
3025851	COC1=CC(=C(C=C1)OC)C(=O)C=CC2=CC(=C(C=C2)O)O	2',5'-dimethoxy-3,4-dihydroxychalcone	C17H16O5	['Molecular Mechanisms of Pharmacological Action']	['D27.505.519']
2040	CC1=CC=CC=C1N2C(=NC3=C(C2=O)C=C(C=C3)N)CF	afloqualone	C16H14FN3O	['Physiological Effects of Drugs', 'Therapeutic Uses']	['D27.505.696', 'D27.505.954']
5284442	C1=CC=C(C=C1)C(=CCCCCC(=O)O)C2=CN=CC=C2	isbogrel	C18H19NO2	['Therapeutic Uses', 'Molecular Mechanisms of Pharmacological Action']	['D27.505.954', 'D27.505.519']
17520	C1=CC=C2C(=C1)C(=O)NS2	1,2-benzisothiazoline-3-one	C7H5NOS	['Therapeutic Uses']	['D27.505.954']
