CID	SMILES	Name	Formula	Terms	TreeIds
6	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl	Dinitrochlorobenzene	C6H3ClN2O4	['Indicators and Reagents']	['D27.720.470.410']
127	C1=CC(=CC=C1CC(=O)O)O	4-hydroxyphenylacetic acid	C8H8O3	['Carcinogens']	['D27.888.569.100']
175	CC(=O)[O-]	VoSoL	C2H3O2-	['Indicators and Reagents']	['D27.720.470.410']
176	CC(=O)O	Acetic Acid	C2H4O2	['Indicators and Reagents']	['D27.720.470.410']
234	O[As](=O)(O)O	arsenic acid	AsH3O4	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
299	C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Chlordecone	C10Cl10O	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
359	C1=C(C=C(C=C1O)O)O	Phloroglucinol	C6H6O3	['Indicators and Reagents']	['D27.720.470.410']
378	C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O	nitrophenylphosphate	C6H6NO6P	['Chromogenic Compounds', 'Indicators and Reagents']	['D27.720.470.410.200', 'D27.720.470.410', 'D27.720.233.174']
403	C1=CC(=CC=C1N)O	4-aminophenol	C6H7NO	['Mutagens']	['D27.888.569.468']
412	C1CC(NC1)C2=CN=CC=C2	nornicotine	C9H12N2	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
636	C1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)O	2'-deoxyadenosine	C10H13N5O3	['Mutagens']	['D27.888.569.468']
763	C(C(=O)O)N=C(N)N	glycocyamine	C3H7N3O2	['Affinity Labels']	['D27.720.470.410.080']
799	C1=CC=C2C(=C1)C(=CN2)C(C(COP(=O)(O)O)O)O	indoleglycerol phosphate	C11H14NO6P	['Indicators and Reagents']	['D27.720.470.410']
971	C(=O)(C(=O)O)O	Oxalic Acid	C2H2O4	['Reducing Agents']	['D27.720.470.410.690']
1145	C[N+](C)(C)[O-]	trimethyloxamine	C3H9NO	['Oxidants']	['D27.888.569.540', 'D27.720.642']
1480	C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O	2,4,5-Trichlorophenoxyacetic Acid	C8H5Cl3O3	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
1486	C1=CC(=C(C=C1Cl)Cl)OCC(=O)O	2,4-Dichlorophenoxyacetic Acid	C8H6Cl2O3	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
1530	CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N	2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine	C13H12N4	['Carcinogens', 'Mutagens']	['D27.888.569.100', 'D27.888.569.468']
1539	C1C2=CC=CC=C2C3=C1C=C(C=C3)N	2-aminofluorene	C13H11N	['Carcinogens', 'Mutagens']	['D27.888.569.100', 'D27.888.569.468']
1732	CC1=C(C=CC(=C1)O)Cl	chlorocresol	C7H7ClO	['Fungicides, Industrial']	['D27.720.031.700.288', 'D27.888.723.288']
1969	CC(C)(C(=N)N)N=NC(C)(C)C(=N)N	2,2'-azobis(2-amidinopropane)	C8H18N6	['Mutagens', 'Oxidants']	['D27.888.569.540', 'D27.888.569.468', 'D27.720.642']
1982	CC(=O)NP(=O)(OC)SC	acephate	C4H10NO3PS	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
1988	CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C	acetochlor	C14H20ClNO2	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
2078	CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl	alachlor	C14H20ClNO2	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
2087	C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Aldrin	C12H8Cl6	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
2148	C1=CC(=CC=C1C(=O)NCC(=O)O)N	p-Aminohippuric Acid	C9H10N2O3	['Indicators and Reagents']	['D27.720.470.410']
2181	C1CCNC(C1)C2=CN=CC=C2	Anabasine	C10H14N2	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
2242	COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N	Aspartame	C14H18N2O5	['Sweetening Agents']	['J02.500.512.400.700', 'G07.203.300.512.400.700', 'D27.720.364.609', 'D27.720.888']
2256	CCNC1=NC(=NC(=N1)Cl)NC(C)C	Atrazine	C8H14ClN5	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
2263	CC=C(C)C(=O)OC1CC(C2(COC3C2C14COC(C4C(C3O)(C)C56C7CC(C5(O6)C)C8(C=COC8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C	azadirachtin	C35H44O16	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
2286	CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4	2,2-bis(4-glycidyloxyphenyl)propane	C21H24O4	['Carcinogens']	['D27.888.569.100']
2314	CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C	bendiocarb	C11H13NO4	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
2328	CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O	bentazone	C10H12N2O3S	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
2345	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2	benzyl benzoate	C14H12O2	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
2513	C[As](=O)(C)O	Cacodylic Acid	C2H7AsO2	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
2912	CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C	cypermethrin	C22H19Cl2NO3	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
2967	CC1CC(C23CC(C(C(O2)C(C)CCC(C4=CC(=CC=C4)O)OC)C)OC(=O)CC(OC(=O)CC1(O3)O)C(C)O)(C)C	debromoaplysiatoxin	C32H48O10	['Carcinogens']	['D27.888.569.100']
2982	CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C	decamethrin	C22H19Br2NO3	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
3024	C(Br)Br	methylene bromide	CH2Br2	['Mutagens']	['D27.888.569.468']
3030	COC1=C(C=CC(=C1C(=O)O)Cl)Cl	Dicamba	C8H6Cl2O3	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
3031	C1=CC(=C(C(=C1)Cl)C#N)Cl	dichlobanil	C7H3Cl2N	['Herbicides']	['D27.720.031.700.366', 'D27.888.723.366']
3035	C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl	Dichlorodiphenyl Dichloroethylene	C14H8Cl4	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
