Cid	Smiles	Name	Formula	Term_List	TreeIds
string	string	string	string	string	string
					meta
6629	CC(C)(C1=CC=CC=C1)OO	cumene hydroperoxide	C9H12O2	['Oxidants']	['D27.720.642;D27.888.569.540']
172469	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N	Cibacron Blue F 3GA	C29H20ClN7O11S3	['Coloring Agents']	['D27.720.233']
31423	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	pyrene	C16H10	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
104744	COC1=C2C3=C(C(CC3)O)C(=O)OC2=C4C5C=COC5OC4=C1	aflatoxicol	C17H14O6	['Carcinogens']	['D27.888.569.100']
5709018	C(=CCl)C(F)(F)F	trans-1-chloro-3,3,3-trifluoropropene	C3H2ClF3	['Detergents']	['D27.720.877.265;J01.516.381']
62857	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl	Fluoxetine	C17H19ClF3NO	['Cytochrome P-450 CYP2D6 Inhibitors']	['D27.505.389.500.368;D27.505.519.389.335.368']
5426	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O	Thalidomide	C13H10N2O4	['Teratogens']	['D27.888.569.864']
122029	C1COO1	1,2-dioxetane	C2H4O2	['Indicators and Reagents']	['D27.720.470.410']
65217	COC(=O)C1=CC=CC=C1C2=C3C=CC(=[NH2+])C=C3OC4=C2C=CC(=C4)N.[Cl-]	Rhodamine 123	C21H17ClN2O3	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
13676	CCOP(=S)(CC)SC1=CC=CC=C1	Fonofos	C10H15OPS2	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
38904	C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt]	Carboplatin	C6H14N2O4Pt	['Cross-Linking Reagents']	['D27.720.470.410.210']
2157	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I	Amiodarone	C25H29I2NO3	['Cytochrome P-450 CYP2D6 Inhibitors']	['D27.505.389.500.368;D27.505.519.389.335.368']
25516	[NH4+].[F-]	ammonium fluoride	FH4N	['Mutagens']	['D27.888.569.468']
175	CC(=O)[O-]	VoSoL	C2H3O2-	['Indicators and Reagents']	['D27.720.470.410']
636750	COC1=CC(=C(C=C1CC=C)OC)OC	asarone	C12H16O3	['Carcinogens']	['D27.888.569.100']
121834	CC(=O)NCCNC1=CC=CC2=C1C=CC=C2S(=O)(=O)O	1,5-AEDANS	C14H16N2O4S	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
7516	C1=CC=C(C=C1)NN	phenylhydrazine	C6H8N2	['Oxidants']	['D27.720.642;D27.888.569.540']
122153	C1CC(=O)N(C1=O)OC(=O)C2=CC=C(C=C2)N=[N+]=[N-]	hydroxysuccinimidyl-4-azidobenzoate	C11H8N4O4	['Affinity Labels', 'Cross-Linking Reagents']	['D27.720.470.410.210', 'D27.720.470.410.080']
