CID	SMILES	Terms
continuous	string	string
	meta	meta
3737.0	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)C(=O)NC)I	['Contrast Media']
636392.0	CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)C(=O)NC(CO)C(C)O)O	['Radiopharmaceuticals']
11432124.0	CS(=O)(=O)O.C1CN(CC2=C1C=CC(=C2)OCC3(CCN(CC3)C4=CC=NC=C4)C(=O)O)C(=N)N	['Factor Xa Inhibitors']
53394899.0	CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)O	['Anti-Bacterial Agents']
644073.0	CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O	['Analgesics, Opioid', 'Narcotic Antagonists', 'Narcotics']
11983193.0	C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O	['Androgen Antagonists', 'Antineoplastic Agents, Hormonal', 'Dermatologic Agents', 'Enzyme Inhibitors']
2451.0	CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl	['Hypnotics and Sedatives']
3080955.0	C1CC(CNC1)OC2C(C(C(C(O2)(CO)O)(O)O)O)(CO)O	['Glycoside Hydrolase Inhibitors']
12313558.0	CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl	['Analgesics, Opioid', 'Antitussive Agents']
9855833.0	CC(CC1=CC=CC=C1)NCC#C.Cl	['Monoamine Oxidase Inhibitors']
18943026.0	C1=CC=C(C(=C1)C(=O)O)O.[Na+]	['Anti-Inflammatory Agents, Non-Steroidal', 'Cyclooxygenase Inhibitors']
65281.0	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4	['Anti-Bacterial Agents', 'Anti-Infective Agents, Local']
3758.0	CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2	['Phosphodiesterase Inhibitors']
1990.0	CC(=O)NO	['Enzyme Inhibitors']
4011.0	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24	['Adrenergic Uptake Inhibitors', 'Antidepressive Agents, Second-Generation']
56841869.0	C(C(COP=O)F)N	['Gastrointestinal Agents']
9906860.0	CC(C(=O)N1CCN(CC1)CCCOC2=CC=C(C=C2)C(=O)C3CC3)N	['Histamine Antagonists']
41049.0	CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O	['Analgesics, Opioid', 'Narcotic Antagonists', 'Narcotics']
2803.0	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl	['Adrenergic alpha-2 Receptor Agonists', 'Analgesics', 'Antihypertensive Agents', 'Sympatholytics']
5381.0	CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C	['Dermatologic Agents']
47979.0	COC1=C(C(=CC(=C1)S(=O)(=O)N)C(=O)NCC2CCCN2CC=C)OC	['Antipsychotic Agents']
44249821.0	CC1=CC2=C(O1)C=CC(=C2)NC(=NC3CCCCN(C3=O)CC(=O)N4CCCC4)NC#N	['Factor Xa Inhibitors']
2133.0	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6	['Glucocorticoids']
2450.0	C(C(CO)([N+](=O)[O-])Br)O	['Anti-Infective Agents', 'Anti-Infective Agents, Local']
7176.0	CC(C)COC(=O)C1=CC=C(C=C1)N	['Anesthetics, Local']
9809340.0	CC1=C(C(OC2=C1C=CC(=C2)OC(=O)C(C)(C)C)C3=CC=C(C=C3)OCCN4CCCCC4)C5=CC=C(C=C5)OC(=O)C(C)(C)C	['Estrogen Antagonists']
23689273.0	CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)Br)Br.[Na+]	['Hydroxymethylglutaryl-CoA Reductase Inhibitors']
91767.0	CC1=CC=CC=C1C2=CCN(CC2)C	['Dopamine Antagonists']
1330.0	CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)S(=O)(=O)O	['Purinergic P1 Receptor Antagonists']
2088.0	C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN	['Bone Density Conservation Agents']
9910986.0	CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl	['Antineoplastic Agents', 'Protein Kinase Inhibitors']
64663.0	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.O.OS(=O)(=O)O	['Adjuvants, Anesthesia', 'Anti-Arrhythmia Agents', 'Bronchodilator Agents', 'Muscarinic Antagonists', 'Mydriatics', 'Parasympatholytics']
801.0	C1=CC=C2C(=C1)C(=CN2)CC(=O)[O-]	['Plant Growth Regulators']
