5-alpha Reductase Inhibitors	36
Adjuvants, Anesthesia	52
Adjuvants, Immunologic	126
Adrenergic Agents	32
Adrenergic alpha-1 Receptor Antagonists	36
Adrenergic alpha-2 Receptor Agonists	31
Adrenergic alpha-Agonists	47
Adrenergic alpha-Antagonists	80
Adrenergic beta-1 Receptor Agonists	20
Adrenergic beta-1 Receptor Antagonists	27
Adrenergic beta-2 Receptor Agonists	42
Adrenergic beta-Agonists	73
Adrenergic beta-Antagonists	114
Adrenergic Uptake Inhibitors	51
Alkylating Agents	30
Amebicides	21
Anabolic Agents	25
Analgesics	95
Analgesics, Non-Narcotic	61
Analgesics, Opioid	114
Androgen Antagonists	20
Anesthetics	21
Anesthetics, Intravenous	35
Anesthetics, Local	84
Angiogenesis Inhibitors	24
Angiotensin II Type 1 Receptor Blockers	39
Angiotensin-Converting Enzyme Inhibitors	48
Antacids	28
Anthelmintics	74
Anti-Allergic Agents	85
Anti-Anxiety Agents	124
Anti-Arrhythmia Agents	258
Anti-Asthmatic Agents	28
Anti-Bacterial Agents	698
Anti-HIV Agents	61
Anti-Infective Agents	168
Anti-Infective Agents, Local	114
Anti-Infective Agents, Urinary	42
Anti-Inflammatory Agents	98
Anti-Inflammatory Agents, Non-Steroidal	305
Anti-Ulcer Agents	133
Antibiotics, Antineoplastic	129
Anticarcinogenic Agents	41
Anticholesteremic Agents	62
Anticoagulants	78
Anticonvulsants	191
Antidepressive Agents	86
Antidepressive Agents, Second-Generation	43
Antidepressive Agents, Tricyclic	49
Antidotes	55
Antiemetics	99
Antifungal Agents	187
Antihypertensive Agents	415
Antimalarials	115
Antimetabolites	39
Antimetabolites, Antineoplastic	70
Antimutagenic Agents	25
Antinematodal Agents	70
Antineoplastic Agents	542
Antineoplastic Agents, Alkylating	59
Antineoplastic Agents, Hormonal	53
Antineoplastic Agents, Phytogenic	69
Antioxidants	193
Antiparkinson Agents	76
Antiprotozoal Agents	72
Antipruritics	35
Antipsychotic Agents	173
Antirheumatic Agents	53
Antitubercular Agents	22
Antitussive Agents	51
Antiviral Agents	221
Appetite Depressants	25
beta-Lactamase Inhibitors	57
Bone Density Conservation Agents	80
Bronchodilator Agents	160
Calcium Channel Blockers	184
Calcium Chelating Agents	20
Cardiotonic Agents	120
Cardiovascular Agents	34
Cariostatic Agents	22
Cathartics	32
Central Nervous System Stimulants	52
Chelating Agents	100
Cholagogues and Choleretics	31
Cholinergic Antagonists	20
Cholinesterase Inhibitors	87
Cholinesterase Reactivators	20
Coccidiostats	34
Contraceptives, Oral, Synthetic	24
Contrast Media	147
Convulsants	30
Cyclooxygenase Inhibitors	83
Cysteine Proteinase Inhibitors	34
Cytochrome P-450 CYP1A2 Inhibitors	27
Dermatologic Agents	54
Disinfectants	55
Diuretics	79
Dopamine Agents	27
Dopamine Agonists	87
Dopamine Antagonists	117
Dopamine Uptake Inhibitors	30
Endothelin Receptor Antagonists	42
Enzyme Inhibitors	575
Estrogen Antagonists	32
Excitatory Amino Acid Antagonists	87
Expectorants	32
Factor Xa Inhibitors	38
Fibrinolytic Agents	52
Folic Acid Antagonists	65
Free Radical Scavengers	35
GABA Antagonists	24
GABA Modulators	78
Gastrointestinal Agents	79
Glucocorticoids	70
Glycoside Hydrolase Inhibitors	38
Hallucinogens	29
Hematinics	26
Hemostatics	39
Histamine Agonists	22
Histamine Antagonists	55
Histamine H1 Antagonists	115
Histamine H1 Antagonists, Non-Sedating	21
Histamine H2 Antagonists	30
Histone Deacetylase Inhibitors	34
HIV Protease Inhibitors	24
Hormone Antagonists	41
Hormones	20
Hydroxymethylglutaryl-CoA Reductase Inhibitors	66
Hypnotics and Sedatives	129
Hypoglycemic Agents	100
Hypolipidemic Agents	60
Immunosuppressive Agents	130
Iron Chelating Agents	51
Lipoxygenase Inhibitors	46
Matrix Metalloproteinase Inhibitors	39
Monoamine Oxidase Inhibitors	52
Muscarinic Agonists	21
Muscarinic Antagonists	100
Muscle Relaxants, Central	60
Mydriatics	35
Narcotic Antagonists	58
Narcotics	80
Neurokinin-1 Receptor Antagonists	40
Neuromuscular Nondepolarizing Agents	40
Neuroprotective Agents	103
Neurotransmitter Agents	24
Nicotinic Antagonists	53
Nitric Oxide Donors	30
Nootropic Agents	47
Nucleic Acid Synthesis Inhibitors	67
Ornithine Decarboxylase Inhibitors	25
Oxytocics	29
Parasympatholytics	148
Parasympathomimetics	36
Phosphodiesterase Inhibitors	65
Photosensitizing Agents	58
Plant Growth Regulators	26
Platelet Aggregation Inhibitors	188
Poly(ADP-ribose) Polymerase Inhibitors	27
Potassium Channel Blockers	31
Protease Inhibitors	70
Protein Kinase Inhibitors	64
Protein Synthesis Inhibitors	87
Proton Pump Inhibitors	52
Psychotropic Drugs	34
Purinergic P1 Receptor Antagonists	23
Radiation-Protective Agents	55
Radiation-Sensitizing Agents	89
Radiopharmaceuticals	52
Reverse Transcriptase Inhibitors	48
Schistosomicides	20
Serine Proteinase Inhibitors	34
Serotonin Antagonists	137
Serotonin Receptor Agonists	81
Serotonin Uptake Inhibitors	47
Sympatholytics	63
Sympathomimetics	132
Tocolytic Agents	32
Topoisomerase I Inhibitors	47
Topoisomerase II Inhibitors	156
Trace Elements	35
Trypanocidal Agents	50
Tubulin Modulators	33
Uncoupling Agents	29
Uricosuric Agents	20
Urological Agents	59
Vasoconstrictor Agents	84
Vasodilator Agents	327
Vitamin B Complex	83
Vitamins	43
Voltage-Gated Sodium Channel Blockers	42
