Cid	Smiles	Name	Formula	Term_List	TreeIds
string	string	string	string	string	string
					meta
5362408	C1=CC2=C3C(=C1NCCCN)C(=C4C(=O)C=CC(=O)C4=C3NN2CC[NH2+]CCO)O.[Cl-]	piroxantrone	C21H26ClN5O4	['Antineoplastic Agents']	['D27.505.954.248']
66618701	CC1=CC(=O)C(=CN1)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O.[Na]	cefpiramide	C25H24N8NaO7S2	['Anti-Bacterial Agents']	['D27.505.954.122.085']
3083735	CCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1O.[Br-]	cethexonium	C24H50BrNO	['Anti-Infective Agents, Local']	['D27.505.954.122.187']
65126	CC(C)C1=C(C(=C2C(=C1)CCC3C2(CCCC3(C)C)C(=O)O)O)O	salvin	C20H28O4	['Antioxidants', 'Antioxidants', 'Anti-Infective Agents, Local']	['D27.505.519.217;D27.505.696.706.125;D27.720.799.047', 'D27.505.519.217;D27.505.696.706.125;D27.720.799.047', 'D27.505.954.122.187']
4655928	CC1=C(C(=NC(=C1F)OC2=CC=CC(=C2)CN)OC3=CC=CC(=C3)C(=N)N)F	ZK 806299	C20H18F2N4O2	['Factor Xa Inhibitors', 'Factor Xa Inhibitors']	['D27.505.519.389.745.800.449.500;D27.505.954.502.119.500.500', 'D27.505.519.389.745.800.449.500;D27.505.954.502.119.500.500']
32798	CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl	Clobetasol	C25H32ClFO5	['Glucocorticoids', 'Anti-Inflammatory Agents']	['D06.472.040.543;D27.505.696.399.472.488', 'D27.505.954.158']
11957536	CCCN(CCC)CCC1=CC(=C(C=C1)O)O.Br	N,N-di-n-propyldopamine	C14H24BrNO2	['Antihypertensive Agents']	['D27.505.954.411.162']
11179459	CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O.C(CO)NCCO	treprostinil	C27H45NO7	['Antihypertensive Agents']	['D27.505.954.411.162']
12359062	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O	Streptomycin	C21H45N7O24S3	['Protein Synthesis Inhibitors', 'Anti-Bacterial Agents']	['D27.505.519.389.760', 'D27.505.954.122.085']
21127619	C1CCC(CC1)NC2CCCCC2.OS(=O)(=O)O	dicyclohexylamine	C12H25NO4S	['Enzyme Inhibitors']	['D27.505.519.389']
76970446	CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC.CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC	manidipine	C70H76N8O12	['Calcium Channel Blockers', 'Calcium Channel Blockers', 'Antihypertensive Agents']	['D27.505.519.562.249;D27.505.954.411.192', 'D27.505.519.562.249;D27.505.954.411.192', 'D27.505.954.411.162']
