Term;CNNFP;ECFP
Dopamine Agonists;0.999938882777;0.963350062827
Antinematodal Agents;0.999419703709;0.896560958251
Hypoglycemic Agents;0.99863385125;0.903062475412
Vitamin B Complex;0.9994577727;0.997569062462
Anticonvulsants;0.996697028139;0.876057233652
Protease Inhibitors;0.999121585643;0.896531732342
Dopamine Agents;0.99693989071;0.967103625848
Anti-Infective Agents, Local;0.998248210583;0.925511998622
Antidepressive Agents;0.999422411955;0.846941542386
Anti-Infective Agents, Urinary;0.999310302679;0.939211391019
Antipruritics;0.998605032823;0.93575625358
Antimutagenic Agents;0.987395264117;0.902335916108
Antitussive Agents;0.99871476336;0.913781777829
Angiotensin II Type 1 Receptor Blockers;0.999972647702;0.999014238773
Bronchodilator Agents;0.997795524989;0.925984993577
Platelet Aggregation Inhibitors;0.998828346316;0.821661357234
Anti-Infective Agents;0.997818495064;0.81914018556
Nootropic Agents;0.998926495456;0.915512564613
Endothelin Receptor Antagonists;0.999972617744;0.909740210094
Anesthetics;0.995684551507;0.933418462309
Histamine Antagonists;0.999740497076;0.94395099932
HIV Protease Inhibitors;0.995118397086;0.970163934426
Gastrointestinal Agents;0.98711651797;0.845930862317
Contraceptives, Oral, Synthetic;0.999180327869;0.999617486339
Anti-Anxiety Agents;0.999059356849;0.918047000659
Topoisomerase II Inhibitors;0.999697877164;0.909817890916
Serine Proteinase Inhibitors;0.999033552152;0.878027946279
Cyclooxygenase Inhibitors;0.999207044331;0.927510389928
Coccidiostats;0.995596280088;0.874507658643
Antineoplastic Agents;0.994538612272;0.759549887637
Adrenergic beta-1 Receptor Antagonists;0.99956284153;1.0
Parasympathomimetics;1.0;0.980743982495
Anti-Inflammatory Agents, Non-Steroidal;0.999036851903;0.868415016914
Monoamine Oxidase Inhibitors;0.998900794566;0.907358244781
Anabolic Agents;0.998870673953;0.997557883241
Antineoplastic Agents, Phytogenic;0.998917796959;0.946238252626
Cholinesterase Inhibitors;0.999310494406;0.959032514699
Purinergic P1 Receptor Antagonists;0.999799794784;0.912276867031
Uncoupling Agents;0.999526411658;0.870538895067
Anti-Allergic Agents;0.999735668011;0.925994373177
Hemostatics;0.995048994466;0.880075204338
Hormones;0.897823156036;0.892435869902
Antidepressive Agents, Tricyclic;0.999473684211;0.988174918574
Anticoagulants;0.998388882844;0.941224854628
Nicotinic Antagonists;0.999375100081;0.952600511696
Lipoxygenase Inhibitors;0.999496166484;0.835124180934
Dopamine Antagonists;0.998607722056;0.954827782786
Neurotransmitter Agents;0.981202185792;0.996010809389
Narcotic Antagonists;0.999963430232;0.986183929683
Neuromuscular Nondepolarizing Agents;0.980969331873;1.0
Potassium Channel Blockers;0.999817651349;0.785479068766
Free Radical Scavengers;0.992058716265;0.875954893774
Anti-HIV Agents;0.999621168614;0.879601560616
Radiation-Protective Agents;0.99687478335;0.900801710414
Antiemetics;0.999460109574;0.936079533956
Antidotes;0.996019736842;0.907114687446
Angiogenesis Inhibitors;0.9785428051;0.794302371927
Antimalarials;0.999289250117;0.92445896065
Vasoconstrictor Agents;0.999702053539;0.959514421982
Muscarinic Agonists;0.999508196721;0.91535572816
Anti-Asthmatic Agents;0.986557257476;0.869988700362
Anticholesteremic Agents;0.999524332236;0.850301023552
Adjuvants, Anesthesia;0.99955429373;0.964977661844
Topoisomerase I Inhibitors;0.999583669607;0.83676975846
Plant Growth Regulators;0.996630236794;0.862665040475
Anesthetics, Local;0.999523285662;0.984104938272
Hypnotics and Sedatives;0.999353987942;0.940604387545
Antimetabolites, Antineoplastic;0.998650645262;0.960982669518
Photosensitizing Agents;0.996436403509;0.954124600401
Schistosomicides;0.996505058821;0.922680697735
Cholinergic Antagonists;0.976018564918;0.92606557377
Antibiotics, Antineoplastic;0.999294244967;0.93144115903
Amebicides;0.99670580094;0.949240520677
Antirheumatic Agents;0.999144736842;0.837722953216
Enzyme Inhibitors;0.994389792246;0.78122023287
Anthelmintics;0.997741365777;0.849240580848
Muscle Relaxants, Central;0.999469969059;0.967342876378
Disinfectants;0.997839912281;0.970167378403
Hypolipidemic Agents;0.999250229489;0.911973700259
Phosphodiesterase Inhibitors;0.9995713763;0.897480408359
Estrogen Antagonists;0.999690186653;0.969149597637
GABA Antagonists;0.998214936248;0.800919077057
Diuretics;0.999738980766;0.951910066007
Chelating Agents;0.999294984191;0.937905679759
Antiviral Agents;0.99893606604;0.875615477769
Anti-Arrhythmia Agents;0.998900271544;0.920689979206
Analgesics, Opioid;0.999869556492;0.988779145596
Cariostatic Agents;0.994991886797;0.981038847925
Adrenergic beta-Agonists;0.999644864701;0.972735478807
Antifungal Agents;0.997521903548;0.885277736017
Folic Acid Antagonists;0.999921593226;0.995285139303
Ornithine Decarboxylase Inhibitors;0.999344202509;0.998997401283
Tocolytic Agents;0.990663330583;0.937317651349
Hydroxymethylglutaryl-CoA Reductase Inhibitors;0.999952955935;0.969025785777
Central Nervous System Stimulants;0.995066149767;0.937624605279
Antineoplastic Agents, Hormonal;0.996379885571;0.931988304094
Trypanocidal Agents;0.999934210526;0.915572577391
Hormone Antagonists;0.999972647702;0.886666291184
Cathartics;0.998268943334;0.987767873157
Adjuvants, Immunologic;0.998192378524;0.827809812083
Androgen Antagonists;0.995029231393;0.969515773021
Antineoplastic Agents, Alkylating;0.998446617367;0.939910098151
Cardiovascular Agents;0.998987964989;0.943453683443
Urological Agents;0.999725817012;0.934069783863
Trace Elements;0.999060824559;0.995939467039
Dopamine Uptake Inhibitors;0.999781181619;0.997228300511
Excitatory Amino Acid Antagonists;0.999682190441;0.932751822814
Tubulin Modulators;0.999626304839;0.891338439096
Antiprotozoal Agents;0.998592046968;0.834853437491
5-alpha Reductase Inhibitors;0.999562363239;0.957731143392
Sympathomimetics;0.999849300702;0.986457886159
Histone Deacetylase Inhibitors;0.995395696572;0.974452954048
Voltage-Gated Sodium Channel Blockers;0.999102604969;0.9418483023
Fibrinolytic Agents;0.99968575258;0.826983011792
Neurokinin-1 Receptor Antagonists;0.999945235487;0.950826470793
Narcotics;0.999656336513;0.973068626918
Antipsychotic Agents;0.999790123457;0.956619825708
Anti-Bacterial Agents;0.998833299452;0.958712423272
Immunosuppressive Agents;0.995927971823;0.827262137584
Mydriatics;0.99931619256;0.970030959326
Alkylating Agents;0.997886708677;0.910158354358
Glycoside Hydrolase Inhibitors;0.999644360214;0.926914790653
Psychotropic Drugs;0.99985412108;0.85725743635
Anti-Inflammatory Agents;0.999422266906;0.949160966454
Cholagogues and Choleretics;0.971243797157;0.954002881707
Antacids;0.998469825782;0.987042942609
Reverse Transcriptase Inhibitors;0.999446848398;0.88212683269
Neuroprotective Agents;0.998563213011;0.771929437707
Histamine H2 Antagonists;1.0;0.995623632385
Vasodilator Agents;0.998749770018;0.86586451492
Adrenergic beta-2 Receptor Agonists;0.998603504929;0.981763417306
Radiation-Sensitizing Agents;0.998774219382;0.851310789425
Histamine H1 Antagonists, Non-Sedating;1.0;0.940662419166
Matrix Metalloproteinase Inhibitors;0.999835856256;0.887520671506
GABA Modulators;0.998997252747;0.986402156699
Antitubercular Agents;0.9936997399;0.900760970721
Sympatholytics;0.998229554402;0.964594114265
beta-Lactamase Inhibitors;0.999411525635;0.935652542672
Calcium Chelating Agents;0.979836065574;0.980929438996
Proton Pump Inhibitors;0.999894025864;0.954007557343
Oxytocics;0.999927140255;0.98898685894
Anti-Ulcer Agents;0.998902550232;0.887867718565
Uricosuric Agents;0.997488963658;0.8751954924
Serotonin Uptake Inhibitors;0.99982475356;0.959566189399
Anticarcinogenic Agents;0.997450076814;0.85959891885
Histamine H1 Antagonists;0.999917218543;0.96790584673
Expectorants;0.999170343533;0.945013153017
Anesthetics, Intravenous;0.996553610503;0.943936707642
Antiparkinson Agents;0.999634990579;0.938645081541
Analgesics;0.998356529489;0.839734929987
Adrenergic Uptake Inhibitors;0.998429891816;0.952155247785
Adrenergic alpha-2 Receptor Agonists;0.998278050803;0.962814147864
Protein Kinase Inhibitors;0.999286498353;0.900676791193
Histamine Agonists;0.998507647887;0.998779599271
Serotonin Receptor Agonists;0.999210535064;0.989383061933
Calcium Channel Blockers;0.999886488561;0.915649834136
Hematinics;0.969690346084;0.993423750364
Adrenergic beta-1 Receptor Agonists;0.992953742811;0.978087551006
Cytochrome P-450 CYP1A2 Inhibitors;0.997504493948;0.921092856317
Contrast Media;0.993073711755;0.981834293834
Iron Chelating Agents;0.999459464653;0.936395198017
Convulsants;0.997776621907;0.821530931513
Vitamins;0.986380065717;0.94121577218
Antioxidants;0.997956105972;0.895518696519
Antihypertensive Agents;0.999359086546;0.889645069448
Cysteine Proteinase Inhibitors;0.998641502553;0.915924819229
Angiotensin-Converting Enzyme Inhibitors;0.999934282585;0.994874041621
Glucocorticoids;0.999701916399;0.983407248232
Antidepressive Agents, Second-Generation;0.999660483989;0.975191675794
Antimetabolites;0.992611314564;0.929199781022
Cholinesterase Reactivators;0.992841530055;0.997158469945
Bone Density Conservation Agents;0.997263476348;0.95844728841
Nucleic Acid Synthesis Inhibitors;0.999560922064;0.870481184959
Radiopharmaceuticals;0.996127212198;0.954909474421
Factor Xa Inhibitors;0.999945295405;0.960462258822
Cardiotonic Agents;0.999723950012;0.893590794336
Hallucinogens;0.996976161152;0.966807682956
Adrenergic alpha-1 Receptor Antagonists;0.999945295405;0.987745851119
Protein Synthesis Inhibitors;0.999642433957;0.919307597059
Nitric Oxide Donors;0.998869438366;0.98734763425
Adrenergic Agents;0.99127482632;0.977944930708
Appetite Depressants;0.99956284153;0.924225386918
Adrenergic alpha-Agonists;0.999649507119;0.973018461405
Analgesics, Non-Narcotic;0.992731093078;0.909620198846
Dermatologic Agents;0.993355263158;0.810648709165
