Term;FP-comb
Carcinogens;0.8709379217273954
Herbicides;0.9342019233435949
Fluorescent Dyes;0.8643073852722974
Affinity Labels;0.8444157509157509
Sweetening Agents;0.9514915064950333
Cross-Linking Reagents;0.8108064421324869
Oxidants;0.9542056074766355
Fungicides, Industrial;0.8092307692307692
Coloring Agents;0.8774080947048473
Detergents;0.9352820512820514
Chromogenic Compounds;0.875233644859813
Mutagens;0.7876755495586665
Insecticides;0.8420591817994415
Indicators and Reagents;0.7083354754407385
Reducing Agents;0.9476635514018692
Surface-Active Agents;0.9734297983569828
