Term;FP-comb
Chromogenic Compounds;0.9252336448598131
Coloring Agents;0.9266399776035834
Affinity Labels;0.9329766483516485
Fluorescent Dyes;0.9289254296710437
Mutagens;0.7896648301193755
Indicators and Reagents;0.8005766196117075
Detergents;0.9650103021978023
Oxidants;0.8691588785046729
Cross-Linking Reagents;0.7996906777170398
Carcinogens;0.8655184535858877
Fungicides, Industrial;0.8446153846153847
Insecticides;0.8834931879087723
Herbicides;0.9188860692791969
Surface-Active Agents;0.9721222305202888
Reducing Agents;0.944855404690531
Sweetening Agents;0.9755738258978429
