Term;auc
Folic Acid Antagonists;0.982741347905
Antimalarials;0.956934306569
Bronchodilator Agents;0.697180243273
Factor Xa Inhibitors;0.933421999687
Neurotransmitter Agents;0.992500608717
Nitric Oxide Donors;0.950507395941
Anti-Inflammatory Agents;0.834872044056
Appetite Depressants;0.924597364568
Poly(ADP-ribose) Polymerase Inhibitors;0.781391229999
Coccidiostats;0.844581056466
Oxytocics;0.931785063752
Potassium Channel Blockers;0.889699623009
Hypoglycemic Agents;0.938816950168
Androgen Antagonists;0.985831974599
Antiviral Agents;0.727459016393
Hormone Antagonists;0.630373406193
Dopamine Agonists;0.968207741779
Tocolytic Agents;0.750231091939
Muscle Relaxants, Central;0.815846472368
Anticarcinogenic Agents;0.964119488872
Vasoconstrictor Agents;0.999531786495
Antinematodal Agents;0.829207620434
Urological Agents;0.977577775466
Tubulin Modulators;0.920361548797
Glycoside Hydrolase Inhibitors;0.714051692756
Serine Proteinase Inhibitors;0.933492473974
Monoamine Oxidase Inhibitors;0.91926146143
Cysteine Proteinase Inhibitors;0.865160349854
Dopamine Agents;0.801514596311
Central Nervous System Stimulants;0.855103534825
GABA Antagonists;0.942829912023
Alkylating Agents;0.868743047831
Analgesics, Opioid;0.899830117704
Anti-Allergic Agents;0.94695637745
Serotonin Antagonists;0.804358412467
Antibiotics, Antineoplastic;0.809149844083
Reverse Transcriptase Inhibitors;0.834854942345
Anesthetics, Intravenous;0.823131239347
Antineoplastic Agents, Hormonal;0.899530536746
Antiparkinson Agents;0.86565324919
Amebicides;0.871785813796
Antacids;0.921287266648
Protease Inhibitors;0.889032557523
Vasodilator Agents;0.723343108504
Angiotensin-Converting Enzyme Inhibitors;0.79878112713
Adrenergic beta-Agonists;0.870257823412
Adrenergic alpha-2 Receptor Agonists;0.864771092494
Muscarinic Agonists;0.969340138534
Histamine H1 Antagonists;0.985484926655
Adrenergic beta-1 Receptor Agonists;0.886924320659
Parasympathomimetics;0.868297128969
GABA Modulators;0.816912850812
Antifungal Agents;0.818825403338
Gastrointestinal Agents;0.802006397208
Anticholesteremic Agents;0.943208074912
Phosphodiesterase Inhibitors;0.931339318432
Parasympatholytics;0.70602526725
Antioxidants;0.869413489736
Matrix Metalloproteinase Inhibitors;0.76075232511
Antidepressive Agents;0.886756043063
Neurokinin-1 Receptor Antagonists;0.911125019559
Dopamine Uptake Inhibitors;0.836679913547
Antihypertensive Agents;0.84647852457
Radiation-Sensitizing Agents;0.864664003696
Radiopharmaceuticals;0.792330168006
Antiprotozoal Agents;0.977202785876
Trace Elements;0.887822629557
Adjuvants, Anesthesia;0.90954029493
Contraceptives, Oral, Synthetic;0.899126637555
Anti-Asthmatic Agents;0.969045011214
Plant Growth Regulators;0.842374491511
Enzyme Inhibitors;0.790492387431
Platelet Aggregation Inhibitors;0.929689410614
beta-Lactamase Inhibitors;0.816581947012
Contrast Media;0.837983825786
Hormones;0.900024295432
Serotonin Uptake Inhibitors;0.839402875046
Antipruritics;0.642331410384
Proton Pump Inhibitors;0.910023055454
Hallucinogens;0.745439620576
Sympathomimetics;0.848771074548
Diuretics;0.766813563472
Neuromuscular Nondepolarizing Agents;0.998604538284
Adjuvants, Immunologic;0.843404926587
Free Radical Scavengers;0.894063065491
5-alpha Reductase Inhibitors;0.943606284466
Lipoxygenase Inhibitors;0.740504793108
Adrenergic alpha-1 Receptor Antagonists;0.967636363636
Angiogenesis Inhibitors;0.946176520605
Bone Density Conservation Agents;0.723269581056
Analgesics;0.942883278449
Adrenergic beta-Antagonists;0.976626218421
Histone Deacetylase Inhibitors;0.986247723133
Serotonin Receptor Agonists;0.799597511892
Antitubercular Agents;0.769489981785
Antirheumatic Agents;0.847084708471
Antineoplastic Agents;0.919945355191
Antineoplastic Agents, Phytogenic;0.967621369084
Nootropic Agents;0.958686050791
Histamine H2 Antagonists;0.983843537415
Angiotensin II Type 1 Receptor Blockers;0.778460837887
Ornithine Decarboxylase Inhibitors;0.811728268543
Endothelin Receptor Antagonists;0.963070942663
Vitamins;0.855426789358
Uricosuric Agents;0.736395796483
Cardiotonic Agents;0.754644808743
Cholinergic Antagonists;0.687545670442
Antipsychotic Agents;0.95264240396
Histamine Agonists;0.802005103901
Disinfectants;0.878522837707
Schistosomicides;0.926881030903
Antimetabolites;0.803917821309
